ÄÚµå,¸Þ´º,¸¶¸¥¿ÀÂ¡¾î,¸ðÂ¥·¼¶óÄ¡Áî,¼Û¾î,¹Ì¿ª,ÆäÅõÄ¡³×,Ã»Æ÷¹¬,´ç±ÙÀÙ,Åë°èÇÇ,Ã»°æÃ¤,È£¹ÚÀÙ,³ÃÀÌ,½Ä»§,À°È¸,°¨ÀÚ,Ã¼¸®,¾ç,±ú¼Ò½º,ÄÉÀÏ,¶¥Äá,Ã»ÁÖ,È­ÀÌÆ®¿ÍÀÎ,¾çÁö¸Ó¸®,½ºÀ§Æ®¸¶Á¶¶÷,Â÷Á¶,½Ò°¡·ç,½ÇÆÄ,µÀ³ª¹°,¿ì°ÅÁö,ÈæÀÓÀÚ,°ñ¹ðÀÌ,¸»¸°Ç¥°í¹ö¼¸,¹Ì´õ´ö,ÇÇÅ¬,Àü¾î,²¿Ä¡,¸¶¿ä³×Áî,½ºÆÄ°ÔÆ¼¸é,º¸¸®,¼÷ÁÖ,¿À·¹°¡³ë,°¥Ä¡,´©·îÁö,ÆÄÇÁ¸®Ä«,°Çºí·çº£¸®,ÂÌ¸é,°£Àå,¾ç¼ÛÀÌ¹ö¼¸,¸ÞÁÖ,ÇØ»ï,´ç±Ù,ºÏ¾î,Àû¾ç¹èÃß,ÃÊ°íÃßÀå,°ËÀº±ú,¿ù°è¼öÀÙ,°«,°ù°¨,°ÜÀÚ°¡·ç,Á×¼ø,ÅëÈÄÃß,¼³ÅÁ,¾Æ¸óµå,¹èÃß,°¡¾²¿Àºê½Ã,Ä¡ÀÚ,¸ÞÁÖÄá,µþ±â,µÅÁö°í±â,°íµî¾î,°íÃßÀå,ÀÎ»ï,²ÇÄ¡ÅëÁ¶¸²,¼ÛÀÌ¹ö¼¸,¸Å½Ç¾×,´ë±¸,¸êÄ¡¾×Á£,¿ÀÂ¡¾îÃ¤,½Ç°íÃß,°ÜÀÚ,´Ù½Ã¸¶,»óÃß,µµ¶óÁö,¾ç³ä,µµÅä¸®¹¬,ÇÖ¼Ò½º,¸ã½Ò,Æ÷µµ,Ä«·¹,ÀåÁ¶¸²,³¯Ä¡¾Ë,¿Àº¸·Î,ºÎÃß,ºê·ÎÄÝ¸®,¾Æ¿í,°¡·¡¶±,Åä¶õ,½ÄÃÊ,¹«,´õ´ö,Á¶°³,ÂÞ²Ù¹Ì,Åä¸¶ÅäÆäÀÌ½ºÆ®,¹Ùº£Å¥¼Ò½º,ÆÄ·¡,ÀçÃ¸,ÇÃ·¹ÀÎ¿ä±¸¸£Æ®,Âý½Ò,°ÇÆ÷µµ,½Ã·¡±â,¸êÄ¡Á£,ÄÉÀÌÆÛ,¾Ø´ÙÀÌºê,µ·±î½º¼Ò½º,°ñ¹ðÀÌÅëÁ¶¸²,¾çÆÄ,¶óÀÌ½ºÆäÀÌÆÛ,µé²¢°¡·ç,µé±ú,Ä¥¸®,°ß°ú·ù,¼Ò²¿¸®,»õ¼ÛÀÌ¹ö¼¸,Æ®·¹ºñ½º,½Å±èÄ¡,°í±¸¸¶ÀÙ,¹Ú°íÁö,±è,¸ñÀÌ¹ö¼¸,¸Þ±â,¹Ì¼Ò,ÆÄ½½¸®,°í±¸¸¶,½´°¡ÆÄ¿ì´õ,±¹¸êÄ¡,´ÀÅ¸¸®¹ö¼¸,¹Ì¿ø,½Ò¶ß¹°,ÇÇ¸Á,¾ÖÈ£¹Ú,Àü¾îÁ£°¥,¸¶´Ã,¿Á¼ö¼ö,ÀÜ¸êÄ¡,º½µ¿,Å°À§,ÃÊ»ý°­,ÀÚ¸ù,ÀûÃ¤,ÇÇÁ¶°³,³ì¸»,³ë°¢,²Ü,Æ®·¹ºñ¼Ò,¼Ò½ÃÁö,¾¦°«,¸í¶õÁ£,°ï¾à,ÇØÃÊ,°íÃß³ÃÀÌ,ÀüºÐ,¶ó¸é,¹«¼ø,ÆØÀÌ¹ö¼¸,´ÙÁüÀ°,Ä®±¹¼ö,¹ã,Æ¢±è°¡·ç,´Ü¹«Áö,½Ò,¶¥Äá¹öÅÍ,ÄÚ´Ù¸®,ÇÇ½¬¼Ò½º,µÈÀå,ÇÜ,¸ÀÁ¶°³,ÀÌ½ºÆ®,Ã»Àå,½ÓÀå,°í»ç¸®³ª¹°,ÄÉÃ¸,·ÎÁî¸¶¸®,°è¶õ,¿À·»Áö¸¶¸Ö·¹ÀÌµå,¾×Á£,¹ßÈ¿ÃÊ,ÆÏ,´Þ·¡,Âü±ú,±¤¾î,¹æ¿ïÅä¸¶Åä,¿ìµ¿¸é,¹Ð°¡·ç,²É°Ô,°úÀÏÅëÁ¶¸²,±î³ª¸®¾×Á£,°íÃß,»õ½ÏÃ¤¼Ò,µé±ú°¡·ç,¿¬¾î,´ÜÈ£¹Ú,µµ°¡´Ï,¾ç¹èÃß,³ìÂ÷°¡·ç,Åä¸¶Åä¼Ò½º,ÂüÄ¡ÅëÁ¶¸²,¹°¿³,´ß´Ù¸®,»ý°­,¹ÙÁú,³«Áö,»§°¡·ç,µµ¹Ì,¾ç»óÃß,¼Ò¸é,°©¿ÀÂ¡¾î,¿Ã¸®ºêÀ¯,´ç¸é,ÆÈ°¢,¿ì¹«,Å©¸²¼öÇÁ,Ã»±¹Àå,Âý½Ò°¡·ç,ºñÆ®,¾Æ±Í,Á£±¹,¿­¹«±èÄ¡,¼±Áö,ÆÄ»Ñ¸®,¹«¸»·©ÀÌ,Á¤Á¾,±¼¼Ò½º,Âü³ª¹°,±âÀå,È«Â÷,¿ìÀ¯,´ëÆÄ,µÎ¸¨,¿­¹«,´ß°í±â,¸ã½Ò°¡·ç,±¼,»ýÅ©¸²,·¹¸óµå·¹½Ì,³Ã¸é,´ß³¯°³,ÀÎÀý¹Ì,»êÃÊ°¡·ç,±Ù´ëÀÙ,°¡Áö,ÄÜÇÁ·¹ÀÌÅ©,ÆÄ¸¶»êÄ¡Áî,½Î¸®¹ö¼¸,»õ¿ì,³Ãµ¿¸¸µÎ,±èÄ¡,Äá³ª¹°,À°¼ö,²ÇÄ¡,Ã»¾ç°íÃß,Àüº¹,Ç¥°í¹ö¼¸,¼Ò±Ý,»ý°¢,»ýÅÂ,¹Ù°ÔÆ®,µÎºÎ,ÈÄÃß,¿Ã¸®ºê,¼ø´ë,¿ÏµÎÄá,ÂÊÆÄ,³ìµÎ,»çÀÌ´Ù,Å¸ÀÓ,¼÷ÁÖ³ª¹°,ÆÄÀÎ¾ÖÇÃ,Áø°£Àå,Å©¸²Ä¡Áî,ÄáºñÁö,¹è,°í¼ö,Ãë³ª¹°,¿ì¹¬,Á¤Çâ,¸À»ì,¸¸µÎÇÇ,Èæ¹Ì,¹ä,±¹°£Àå,¸êÄ¡,À¯ºÎ,²Ê¸®°íÃß,¼Ò Àâ»À,°öÃ¢,¿Á¼ö¼öÅëÁ¶¸²,Åä¸¶Åä,°í±¸¸¶ÁÙ±â,Àå¾î,±×¶ó³ª ºü´Ù³ë,ÇØÆÄ¸®,¿ì¾û,±Ù´ë,Ã»¾î¾Ë,¹Ù³ª³ª,Åº»ê¼ö,¹öÅÍ,Á¶±â,È£¹Ú,¼ö¼ö,¿³±â¸§,µÅÁö°¥ºñ,»õ¿ìÁ£,Åë±ú,°ÜÀÚÀÙ,ÄÜÇÃ·¹ÀÌÅ©,½Ã±ÝÄ¡,µé±â¸§,¹ÙÁö¶ô,Â÷ÀÌºê,Ãá±ÇÇÇ,´ëÃß,´Ù½Ã¹°,À×¾î,¾¦,ÆùÁî¼Ò½º,¿ÀÂ¡¾î,Á¶,ÄÃ¸®ÇÃ¶ó¿ö,¼øµÎºÎ,½Ò±¹¼ö,¹¬,¹Ì¸²,¼Ò°¥ºñ,¸¶´ÃÁ¾,Àã°¡·ç,Äá°¡·ç,¸Å½ÇÀå¾ÆÂî,°Ç»õ¿ì,Æä½ºÅä¼Ò½º,¸ð½ÃÁ¶°³,Ä¡Áî,³Ó¸Æ,°¡¸®ºñ,ÀºÇà,°íµé»©±â,±ú¼Ò±Ý,µ¿ÅÂ,¿À·»Áö,¸¶¸¥°íÃß,Âü¼Ò¶ó,Æ÷µµ¾¾À¯,ÂüÄ¡,½Ã·´,È£¹Ú¾¾,¿¬±Ù,·¹¸ó,´ß°¡½¿»ì,¾Æ½ºÆÄ¶ó°Å½º,Ä¡Ä¿¸®,¼ö»ï,²Ã¶Ñ±â,¹Ð±¹¼ö,È¦Åä¸¶Åä,º£ÀÌÄÁ,»ç¿öÅ©¸²,½Ä¿ëÀ¯,µ¿Ä¡¹Ì,´ß¹ß,Âü±â¸§,Åä¸¶ÅäÆä½ºÆ®,°èÇÍ°¡·ç,¿ÀÀÌ,¹®¾î,¾Æº¸Ä«µµ,ºÎÄ§°¡·ç,Äá,¼®ÀÌ¹ö¼¸,»ç°ñ,È£µÎ,ÆÄ½½¸®°¡·ç,°íÃß±â¸§,¿¬¾î¾Ë,°íÃå°¡·ç,¼Ò°í±â,¾î¹¬,¹°,ÃÊÄÝ¸´,¹Ì³ª¸®,µÎ¹ÝÀå,È²¼³ÅÁ,¸ðµëÃ¤¼Ò,²¢ÀÙ,·çÄÝ¶ó,°í»ç¸®,Á¶Ã»,¿ÏµÎÄáÅëÁ¶¸²,»ç°ú,¶óÀÓ,¸Þ¹Ð±¹¼ö,»ç¿ì¾îÅ©¶ó¿ìÆ®,·¹µå¿ÍÀÎ,»ø·¯¸®,Àã,¸í¶õ,È«ÇÕ,ÇÕ
1,ÄáºñÁöµ¿±×¶û¶¯,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
2,´©µå±è¹ä,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
3,ÂÊÆÄ »õ¿ì°­È¸,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
4,Ä«·¹Åä¸¶Åä´Þ°¿ººÀ½¹ä,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,12
5,½Ä»§°í±¸¸¶ÆÄÀÌ,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
6,¹èÃß¸¸µÎ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
7,´ç±ÙÀÙ °¨ÀÚÀü,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
8,´ÜÈ£¹Ú °íµî¾îÁ¶¸²,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
9,³ª¹° ¿ù³²½Ó,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,11
10,¾ÖÈ£¹Ú ±¸ÀÌ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
